time,temperature,humidity,label
2274,25.00,57.00,0
4548,25.00,57.00,0
6822,25.00,57.00,0
9096,25.00,57.00,0
11370,25.00,57.00,0
13644,25.00,57.00,0
15918,25.00,57.00,0
18192,25.00,57.00,0
20466,25.00,57.00,0
22740,25.00,58.00,0
25014,25.00,58.00,0
27288,25.00,59.00,0
29562,25.00,59.00,0
31836,25.00,60.00,0
34110,26.00,61.00,0
36385,25.00,60.00,0
38658,26.00,62.00,0
40931,26.00,62.00,0
43204,26.00,62.00,0
45478,26.00,62.00,0
47752,26.00,62.00,0
50026,26.00,62.00,0
52300,26.00,62.00,0
54574,26.00,62.00,0
56848,26.00,62.00,0
59122,26.00,62.00,0
61396,26.00,61.00,0
63670,26.00,61.00,0
65944,26.00,61.00,0
68218,26.00,62.00,0
70492,26.00,63.00,0
72765,26.00,64.00,0
75039,26.00,65.00,0
77312,26.00,65.00,0
79585,26.00,66.00,1
81858,26.00,68.00,1
84132,26.00,77.00,1
86406,26.00,79.00,1
88679,26.00,82.00,1
90954,26.00,85.00,1
93228,26.00,83.00,1
95502,26.00,89.00,1
97776,27.00,90.00,1
100050,27.00,89.00,1
102323,27.00,93.00,1
104597,27.00,91.00,1
106870,27.00,94.00,1
109143,27.00,94.00,1
111417,27.00,92.00,1
113690,27.00,92.00,1
115964,28.00,95.00,1
118238,28.00,94.00,1
120512,28.00,90.00,1
122785,28.00,95.00,1
125059,28.00,92.00,1
127332,28.00,92.00,1
129605,28.00,93.00,1
131879,28.00,94.00,1
134153,29.00,93.00,1
136427,29.00,94.00,1
138701,29.00,94.00,0
140975,29.00,90.00,0
143249,29.00,84.00,0
145524,29.00,82.00,0
147798,29.00,79.00,0
150072,29.00,77.00,0
152346,29.00,74.00,0
154620,29.00,72.00,0
156894,29.00,71.00,0
159168,29.00,69.00,0
161441,29.00,68.00,0
163715,29.00,67.00,0
165989,29.00,66.00,0
168263,29.00,65.00,0
170536,29.00,64.00,0
172810,29.00,64.00,0
175083,29.00,64.00,0
177356,29.00,64.00,0
179629,29.00,64.00,0
181902,29.00,64.00,0
184175,29.00,65.00,0
186448,29.00,65.00,0
188721,29.00,66.00,0
190994,29.00,66.00,0
193268,29.00,66.00,0
195541,29.00,66.00,0
197814,29.00,66.00,0
200087,29.00,66.00,0
202360,29.00,66.00,0
204634,29.00,66.00,0
206907,29.00,66.00,0
209180,29.00,66.00,0
211453,29.00,66.00,0
213727,29.00,66.00,0
216000,29.00,66.00,0
218273,29.00,66.00,0
220546,29.00,66.00,0
222819,29.00,66.00,0
225093,29.00,65.00,0
227366,29.00,64.00,0
229639,29.00,64.00,0
231912,29.00,64.00,1
234186,29.00,76.00,1
236460,29.00,78.00,1
238734,29.00,78.00,1
241008,29.00,86.00,1
243282,29.00,92.00,1
245556,29.00,89.00,1
247829,29.00,94.00,1
250102,29.00,95.00,1
252375,29.00,94.00,1
254648,29.00,95.00,1
256921,29.00,93.00,1
259195,29.00,95.00,1
261469,29.00,95.00,1
263743,29.00,95.00,1
266017,29.00,95.00,1
268291,29.00,95.00,1
270564,30.00,95.00,1
272837,30.00,95.00,1
275111,30.00,95.00,1
277385,30.00,95.00,1
279659,30.00,95.00,1
281933,30.00,95.00,1
284207,30.00,95.00,1
286481,30.00,95.00,1
288756,30.00,95.00,0
291029,30.00,91.00,0
293302,30.00,87.00,0
295576,30.00,83.00,0
297850,30.00,79.00,0
300124,30.00,76.00,0
302398,30.00,74.00,0
304673,30.00,71.00,0
306947,30.00,69.00,0
309221,30.00,68.00,0
311494,30.00,66.00,0
313767,30.00,64.00,0
316041,30.00,63.00,0
318315,30.00,62.00,0
320589,30.00,61.00,0
322863,30.00,61.00,0
325137,30.00,60.00,0
327412,30.00,59.00,0
329686,30.00,59.00,0
331959,30.00,59.00,0
334233,30.00,58.00,0
336507,30.00,58.00,0
338781,30.00,57.00,0
341055,30.00,57.00,0
343329,30.00,57.00,0
345603,30.00,57.00,0
347877,30.00,57.00,0
350150,30.00,57.00,0
352424,29.00,57.00,0
354699,29.00,57.00,0
356973,29.00,57.00,0
359247,29.00,57.00,0
361521,29.00,57.00,0
363795,29.00,57.00,0
366070,29.00,57.00,0
368344,29.00,57.00,0
370618,29.00,57.00,0
372892,29.00,57.00,0
375166,29.00,57.00,0
377440,29.00,58.00,0
379714,29.00,59.00,0
381988,29.00,59.00,0
384262,29.00,60.00,0
386536,29.00,60.00,0
388811,29.00,60.00,0
391085,29.00,61.00,0
393359,29.00,61.00,0
395632,28.00,60.00,0
397905,28.00,60.00,0
400178,28.00,60.00,0
402451,28.00,61.00,0
404725,28.00,61.00,0
406999,28.00,61.00,0
409273,28.00,61.00,0
411547,28.00,61.00,0
413821,28.00,61.00,0
416095,28.00,62.00,0
418369,28.00,62.00,0
420643,28.00,62.00,0
422918,28.00,62.00,0
425192,28.00,62.00,0
427467,28.00,62.00,0
429741,28.00,62.00,0
432015,28.00,62.00,0
434289,28.00,62.00,0
436563,28.00,62.00,0
438838,28.00,62.00,0
441112,28.00,62.00,0
443385,28.00,65.00,1
445658,28.00,69.00,1
447932,28.00,75.00,1
450207,28.00,77.00,1
452481,28.00,83.00,1
454755,28.00,87.00,1
457029,28.00,89.00,1
459303,28.00,90.00,1
461576,28.00,92.00,1
463849,28.00,91.00,1
466122,28.00,93.00,1
468396,28.00,90.00,0
470670,28.00,87.00,0
472944,29.00,87.00,0
475218,29.00,86.00,0
477492,29.00,83.00,0
479765,29.00,81.00,0
482038,29.00,81.00,0
484311,29.00,80.00,0
486584,29.00,79.00,0
488858,29.00,78.00,0
491132,29.00,77.00,0
493406,29.00,77.00,0
495680,29.00,76.00,0
497954,29.00,76.00,0
500228,29.00,75.00,0
502502,29.00,75.00,0
504777,29.00,74.00,0
507051,29.00,74.00,0
509325,29.00,74.00,0
511599,29.00,73.00,0
513873,29.00,73.00,0
516147,29.00,73.00,0
518421,29.00,73.00,0
520694,29.00,72.00,0
522967,29.00,72.00,0
525240,29.00,72.00,0
527513,29.00,72.00,0
529787,29.00,71.00,0
532060,29.00,72.00,0
534334,29.00,71.00,0
536609,29.00,71.00,0
538882,29.00,70.00,0
541156,29.00,69.00,0
543430,29.00,69.00,0
545703,29.00,68.00,0
547976,29.00,68.00,0
550249,29.00,67.00,0
552522,29.00,67.00,0
554795,29.00,66.00,0
557068,29.00,66.00,0
559341,29.00,65.00,0
561614,29.00,64.00,0
563888,29.00,64.00,0
566161,29.00,63.00,0
568434,29.00,63.00,0
570708,29.00,63.00,0
572982,29.00,62.00,0
575256,29.00,62.00,0
577530,29.00,61.00,0
579804,29.00,61.00,0
582078,29.00,61.00,0
584353,29.00,61.00,0
586626,29.00,60.00,0
588899,29.00,60.00,0
591172,28.00,59.00,0
